,School,Department,Class,Credits,Requisites,Course Designation,Repeatable for Credit,Last Taught
0,College of Letters & Science,African Cultural Studies,AFRICAN 100,3,,Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
1,College of Letters & Science,African Cultural Studies,AFRICAN 201,3,,Gen Ed - Communication Part B Breadth - Literature. Counts toward the Humanities req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
2,College of Letters & Science,African Cultural Studies,AFRICAN 202,3,,Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2023
3,College of Letters & Science,African Cultural Studies,AFRICAN 203,3,,Breadth - Literature. Counts toward the Humanities req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Summer 2023
4,College of Letters & Science,African Cultural Studies,AFRICAN 204,3,,Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2023
5,College of Letters & Science,African Cultural Studies,AFRICAN/FOLKLORE  210,3,,Breadth - Literature. Counts toward the Humanities req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
6,College of Letters & Science,African Cultural Studies,AFRICAN 212,3,,Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
7,College of Letters & Science,African Cultural Studies,AFRICAN 230,3,,Breadth - Humanities Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2022
8,College of Letters & Science,African Cultural Studies,AFRICAN 231,3,,Breadth - Literature. Counts toward the Humanities req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
9,College of Letters & Science,African Cultural Studies,AFRICAN/AFROAMER  233,3,,Ethnic St - Counts toward Ethnic Studies requirement Breadth - Either Humanities or Social Science Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
10,College of Letters & Science,African Cultural Studies,AFRICAN 275,1,Sophomore standing,Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
11,College of Letters & Science,African Cultural Studies,AFRICAN/AFROAMER/ANTHRO/GEOG/HISTORY/POLI SCI/SOC  277,4,,Breadth - Either Humanities or Social Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
12,College of Letters & Science,African Cultural Studies,AFRICAN 300,3,Sophomore standing,Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Spring 2020
13,College of Letters & Science,African Cultural Studies,AFRICAN/INTL ST  302,3,Sophomore standing,Breadth - Literature. Counts toward the Humanities req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
