,School,Department,Class,Credits,Requisites,Course Designation,Repeatable for Credit,Last Taught
0,,Accounting and Information Systems,ACCT I S 100,3,Not open to students with credit for ACCT I S 300,,No,Fall 2023
1,,Accounting and Information Systems,ACCT I S 211,3,ACCT I S 100 or declared in undergraduate Business Exchange program,,No,Fall 2023
2,,Accounting and Information Systems,ACCT I S 300,3,Satisfied Quantitative Reasoning (QR) A requirement. Not open to students with credit for ACCT I S 100.,Gen Ed - Quantitative Reasoning Part B,No,Fall 2023
3,,Accounting and Information Systems,ACCT I S 301,3,ACCT I S 100 or declared in undergraduate Business Exchange program,,No,Fall 2023
4,,Accounting and Information Systems,ACCT I S 302,3,ACCT I S 301 or declared in undergraduate Business Exchange program,,No,Fall 2023
5,,Accounting and Information Systems,ACCT I S 310,3,ACCT I S 211 or declared in undergraduate Business Exchange program,,No,Fall 2023
6,,Accounting and Information Systems,ACCT I S/LAW  329,3,"ACCT I S 100, 300, or LAW 811. Not open to students declared in Business",,No,Spring 2023
7,,Accounting and Information Systems,ACCT I S 340,3,ACCT I S 211 and (ACCT I S 301 or concurrent enrollment); or declared in undergraduate Business Exchange program,,No,Fall 2023
8,,Accounting and Information Systems,ACCT I S 406,3,"ACCT I S 302, 702, declared in Business",,No,Fall 2023
9,,Accounting and Information Systems,ACCT I S 600,1,,Workplace - Workplace Experience Course,No,Spring 2023
10,,Accounting and Information Systems,ACCT I S 601,3,,,No,Spring 2023
11,,Accounting and Information Systems,ACCT I S 603,3,ACCT I S 302 or 702,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
12,,Accounting and Information Systems,ACCT I S 620,3,ACCT I S 301 or concurrent enrollment or declared in undergraduate Business Exchange program,,No,Fall 2023
13,,Accounting and Information Systems,ACCT I S 621,3,"ACCT I S 620, declared in Business",,No,Fall 2023
14,,Accounting and Information Systems,ACCT I S 630,3,"ACCT I S 301, 701, or declared in the Business Exchange program",,No,Fall 2023
15,,Accounting and Information Systems,ACCT I S 640,3,"(ACCT I S 340 or concurrent enrollment), (ACCT I S 100 and GEN BUS 307), (ACCT I S 700 or concurrent enrollment), or declared in the Business Exchange program",Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
16,,Accounting and Information Systems,ACCT I S 700,2,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
17,,Accounting and Information Systems,ACCT I S 701,3,ACCT I S 700,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
18,,Accounting and Information Systems,ACCT I S 702,3,ACCT I S 701,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
19,,Accounting and Information Systems,ACCT I S 706,3,ACCT I S 701,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
20,,Accounting and Information Systems,ACCT I S 710,2,ACCT I S 700,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
21,,Accounting and Information Systems,ACCT I S 722,3,"ACCT I S 620 and graduate/professional standing, declared in Business",Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
22,,Accounting and Information Systems,ACCT I S 724,3,"Graduate/professional standing and (ACCT I S 620 or LAW 742), declared in Business",Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
23,,Accounting and Information Systems,ACCT I S 725,3,"Graduate/professional standing and (ACCT I S 620 or LAW 742), declared in Business",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
24,,Accounting and Information Systems,ACCT I S 726,3,ACCT I S 620 and 621,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
25,,Accounting and Information Systems,ACCT I S 730,3,"(Graduate/professional standing, ACCT I S 340, and 630), declared in Business",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
26,,Accounting and Information Systems,ACCT I S 740,3,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
27,,Accounting and Information Systems,ACCT I S 765,1,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2022
28,,Accounting and Information Systems,ACCT I S 770,3,Graduate/professional standing and (ACCT I S 302 or 702); or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
29,,Accounting and Information Systems,ACCT I S 771,3,"Graduate/professional standing and (ACCT I S 310 or 710), or declared in graduate Business Exchange program",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
30,,Accounting and Information Systems,ACCT I S 772,3,"ACCT I S 620 and graduate/professional standing, declared in Business",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
31,,Accounting and Information Systems,ACCT I S/E P D/GEN BUS  781,1,Graduate/professional standing. Not open to students declared in an MBA program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Summer 2023
32,,Accounting and Information Systems,ACCT I S 971,3,Declared in Business PHD,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
33,,Accounting and Information Systems,ACCT I S 990,1,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
